time,price,sma,rsi,macd,macdSignal,adx,Middle bband,Lower bband,Upper bband,Parabolic sar,ema
2020-07-01- 08:00:00,97.68,0,0,0,0,0,0,0,0,0,0
2020-07-01- 08:05:00,97.87,0,0,0,0,0,0,0,0,97.54,0
2020-07-01- 08:10:00,97.82,97.79,0,0,0,0,138.41666666666666,137.8594513681581,138.97388196517522,97.5433,97.79
2020-07-01- 08:20:00,97.5,97.73,33.92857142857088,0,0,0,138.07666666666668,137.4801583077936,138.67317502553976,97.87,97.64500000000001
2020-07-01- 08:30:00,97.5,97.60666666666667,33.92857142857088,0,0,0,137.98000000000002,137.60334808289653,138.3566519171035,97.866,97.5725
2020-07-01- 09:05:00,97.68,97.56,61.658031088083135,0,0,38.80065617595305,137.94000000000003,137.58074150442005,138.29925849558,97.86204,97.62625
2020-07-01- 09:10:00,97.64,97.60666666666667,54.09090909090837,0,0,31.55517751179794,138.25666666666666,137.64514761089998,138.86818572243334,97.8581196,97.633125
2020-07-01- 09:15:00,97.73,97.68333333333334,67.53716351948526,0,0,35.95965044241595,138.30333333333334,137.70727218807997,138.89939447858671,97.854238404,97.68156250000001
2020-07-01- 09:30:00,97.85,97.74000000000001,79.52875601722708,0,0,49.031455368402796,138.41333333333333,138.04952630265382,138.77714036401284,97.47,97.76578125
2020-07-01- 09:45:00,97.12,97.56666666666668,18.1957829142814,0,0,53.737304017018516,138.26000000000002,138.1851668523347,138.33483314766534,97.95,97.442890625
2020-07-01- 09:50:00,97.25,97.40666666666668,32.16935730979705,0,0,53.83391264035191,138.30333333333337,138.11762148970226,138.48904517696448,97.95,97.34644531250001
2020-07-01- 09:55:00,97.12,97.16333333333334,25.60793925987901,0,0,53.89831838924084,138.4666666666667,138.01460963981245,138.91872369352095,97.93900000000001,97.23322265625
2020-07-01- 10:00:00,96.99,97.12,19.60870843019123,0,0,59.558529681159904,138.87333333333336,138.04125427727809,139.70541238938864,97.92811,97.11161132812501
2020-07-01- 10:15:00,97.3,97.13666666666667,56.26092005010217,0,0,40.32406352530081,139.17333333333337,138.58311680059816,139.7635498660686,97.9173289,97.2058056640625
2020-07-01- 10:35:00,96.97,97.08666666666666,32.558298419443055,0,0,44.59860298887235,139.30333333333337,139.0716247041025,139.53504196256424,97.906655611,97.08790283203125
2020-07-01- 10:45:00,97.07,97.11333333333333,43.39760878388093,0,0,47.4482959645867,139.18000000000004,138.95550055684203,139.40449944315804,97.88312249878001,97.07895141601563
2020-07-01- 10:50:00,96.5,96.84666666666665,18.279095053297294,0,0,57.405570213738365,139.03333333333333,138.81772051163233,139.24894615503433,97.86006004880441,96.78947570800781
2020-07-01- 10:55:00,96.59,96.71999999999998,28.13116837723929,0,0,64.87670946419131,138.76000000000002,138.1362479125156,139.38375208748442,97.81925824734029,96.68973785400391
2020-07-01- 11:00:00,96.13,96.40666666666665,14.619102392058117,-0.19151724571131012,-0.038303449142262025,72.48369454356732,138.58000000000004,138.11495519934985,139.04504480065023,97.76328791744668,96.40986892700195
2020-07-01- 11:05:00,96.3,96.33999999999999,32.57272018703375,-0.19383087844983038,-0.06940893500377569,77.555017929818,138.6366666666667,138.01820980571114,139.2551235276223,97.68062352157435,96.35493446350097
2020-07-01- 11:10:00,96.5,96.30999999999999,50.821654450950625,-0.1750516152623618,-0.09053747105549291,62.27488852712684,138.68666666666672,138.15768441539464,139.2156489179388,97.60209234549563,96.42746723175048
2020-07-01- 11:15:00,96.55,96.44999999999999,55.352983287679145,-0.1532891389676223,-0.10308780463791879,46.28222416324437,138.49000000000007,137.56725048545837,139.41274951454176,97.52748772822085,96.48873361587525
2020-07-01- 11:20:00,96.57,96.53999999999998,57.69195961494541,-0.13235864981749046,-0.10894197367383313,35.62044792065606,138.18000000000006,137.7253939435156,138.63460605648453,97.4566133418098,96.52936680793762
2020-07-01- 11:25:00,96.5,96.53999999999998,45.247247600120595,-0.11884512619501209,-0.11092260417806891,33.435773227237895,138.2533333333334,137.60088495312698,138.9057817135398,97.38928267471931,96.5146834039688
2020-07-01- 11:30:00,95.96,96.3433333333333,12.942322116198564,-0.1428116063342344,-0.11730040460930201,47.01930890095323,138.59666666666672,137.903397438901,139.28993589443243,97.32531854098335,96.2373417019844
2020-07-01- 11:35:00,96.01,96.15666666666664,20.796297979477483,-0.15028316655119056,-0.12389695699767972,56.07499935009679,138.81666666666672,138.60105384506696,139.03227948826648,97.24339942852434,96.1236708509922
2020-07-01- 11:40:00,96.05,96.00666666666665,28.53321557536616,-0.14732741843580754,-0.12858304928530528,64.1124262366101,138.95000000000005,138.69649128885885,139.20350871114124,97.16639546281289,96.0868354254961
2020-07-01- 11:45:00,95.92,95.99333333333333,19.32871696089801,-0.14923423656719592,-0.13271328674168342,69.47071082761899,139.0666666666667,138.63947948418053,139.49385384915286,97.07564778041599,96.00341771274805
2020-07-01- 11:50:00,96.16,96.04333333333334,57.391697825530855,-0.12897686947187026,-0.1319660032877208,46.36611608900625,139.2066666666667,139.03513759566098,139.37819573767243,96.99125243578688,96.08170885637402
2020-07-01- 11:55:00,96.12,96.06666666666666,51.336228601235256,-0.1139706750767715,-0.12836693764553092,35.135038364607276,139.13333333333335,138.76587963254303,139.50078703412368,96.91276476528179,96.100854428187
2020-07-01- 12:00:00,96.3,96.19333333333333,71.57823466793266,-0.08789067790814897,-0.12027168569805453,43.07895998128018,139.16000000000003,138.73762575837327,139.58237424162678,96.83977123171206,96.20042721409351
2020-07-01- 12:05:00,96.37,96.26333333333332,77.12793936832999,-0.0629357848003167,-0.10880450551850697,48.37490772572878,139.29000000000005,138.68535134171907,139.89464865828103,96.77188724549222,96.28521360704676
2020-07-01- 12:10:00,96.49,96.38666666666666,84.77331296262112,-0.036155700112246336,-0.09427474443725484,58.23536584696166,139.48000000000005,139.30336478280378,139.6566352171963,96.70875513830777,96.38760680352337
2020-07-01- 12:15:00,96.41,96.42333333333333,63.5354971087027,-0.02276519309147318,-0.0799728341680985,65.18147920103276,139.7233333333334,139.1491479200233,140.29751874664348,96.65004227862622,96.39880340176168
2020-07-01- 12:20:00,96.89,96.59666666666665,88.79643449190058,0.0196461728313011,-0.060049032768218574,75.0616912633162,139.75666666666672,139.20377527692258,140.30955805641085,95.87,96.64440170088085
2020-07-01- 12:25:00,96.96,96.75333333333332,90.27079762837276,0.051672587230697786,-0.037704708768435305,81.86192698805282,139.72666666666672,139.10498436125354,140.3483489720799,95.88040000000001,96.80220085044041
