time,o,c,h,l,t,rsi,macd,macdSignal,macdHist,adx,Middle bband,Lower bband,Upper bband,Parabolic sar,ema
2021-01-04- 09:00:00,183.96,184.5,184.5,183.7,1609750800,0,0,0,0,0,0,0,0,0,0
2021-01-04- 09:05:00,184.4,184.51,184.51,184.4,1609751100,0,0,0,0,0,0,0,0,183.7,0
2021-01-04- 09:15:00,184.68,184.68,184.68,184.68,1609751700,0,0,0,0,0,184.56333333333336,184.39813984413922,184.7285268225275,183.7081,184.56333333333336
2021-01-04- 09:20:00,184.77,184.93,184.94,184.77,1609752000,100,0,0,0,0,184.7066666666667,184.3616706924776,185.05166264085582,183.727538,184.74666666666667
2021-01-04- 09:25:00,184.9,184.88,184.9,184.88,1609752300,85.14851485148249,0,0,0,0,184.83000000000004,184.61397531019952,185.04602468980056,183.76391186,184.81333333333333
2021-01-04- 09:35:00,185.02,185.11,185.19,185.02,1609752900,92.66503667481543,0,0,0,100,184.97333333333336,184.77579290154685,185.17087376511986,183.79919450420002,184.96166666666667
2021-01-04- 09:40:00,185.05,185.13,185.13,185.05,1609753200,93.11926605504432,0,0,0,100,185.04000000000005,184.81313733985195,185.26686266014815,183.85482672403202,185.04583333333335
2021-01-04- 09:50:00,184.9,184.71,184.9,184.71,1609753800,31.55849203264688,0,0,0,75.0037827205331,184.98333333333338,184.59643684997386,185.3702298166929,183.90823365507075,184.8779166666667
2021-01-04- 09:55:00,184.76,184.76,184.76,184.76,1609754100,38.785087338140066,0,0,0,58.33963786755516,184.8666666666667,184.49202609827324,185.24130723506016,183.9595043088679,184.81895833333334
2021-01-04- 10:25:00,184.42,184.36,184.42,184.14,1609755900,17.108138153102264,0,0,0,65.21401982443058,184.61000000000004,184.25409739170584,184.96590260829424,184.0087241365132,184.58947916666668
2021-01-04- 10:45:00,184.69,184.65,184.69,184.65,1609757100,48.44400998980757,0,0,0,50.72461855956812,184.59000000000003,184.2525586471357,184.92744135286438,184.05597517105267,184.61973958333334
2021-01-04- 10:50:00,184.69,184.6,184.69,184.6,1609757400,44.129584332164015,0,0,0,43.19263743360964,184.53666666666672,184.28350883286416,184.78982450046928,184.10133616421055,184.60986979166665
2021-01-04- 10:55:00,184.63,184.4,184.63,184.4,1609757700,28.76090145211115,0,0,0,46.043290489112444,184.55000000000004,184.33397531019952,184.76602468980056,184.14488271764213,184.50493489583334
2021-01-04- 11:20:00,184.43,184.41,184.43,184.39,1609759200,30.574279978461405,0,0,0,48.330593334701184,184.47000000000003,184.28597101685952,184.65402898314053,184.18668740893645,184.45746744791666
2021-01-04- 11:25:00,184.4,184.46,184.46,184.37,1609759500,41.70369516378465,0,0,0,44.877851510393064,184.42333333333337,184.37083994804647,184.47582671862028,184.226819912579,184.45873372395835
2021-01-04- 11:35:00,184.61,184.6,184.61,184.6,1609760100,65.16063883454258,0,0,0,36.70530699214325,184.49000000000004,184.32916882576757,184.6508311742325,184.26534711607584,184.52936686197916
2021-01-04- 11:40:00,184.59,184.67,184.67,184.59,1609760400,73.23715318589737,0,0,0,36.6284452479037,184.5766666666667,184.40205598881337,184.75127734452005,184.3023332314328,184.59968343098956
2021-01-04- 11:45:00,184.72,184.77,184.77,184.72,1609760700,82.1194854867272,0,0,0,43.69046547921986,184.68000000000004,184.54047700335772,184.81952299664235,184.3378399021755,184.68484171549477
2021-01-04- 12:00:00,184.45,184.35,184.5,184.35,1609761600,26.568064403977136,-0.036486801874815455,-0.007297360374963091,0,44.095191845801104,184.5966666666667,184.23839923094545,184.95493410238794,185.19,184.51742085774737
2021-01-04- 12:05:00,184.31,184.28,184.31,184.25,1609761900,22.72488501421573,-0.050142145185560594,-0.015866317337082592,-0.034275827848478005,48.19929560561675,184.4666666666667,184.0338978035925,184.89943552974088,185.1816,184.3987104288737
2021-01-04- 12:10:00,184.29,184.3,184.34,184.29,1609762200,27.235869173677905,-0.056047212315348816,-0.023902496332735838,-0.03214471598261298,46.457802865913095,184.31000000000003,184.25112159463868,184.3688784053614,185.162968,184.34935521443686
2021-01-04- 12:20:00,184.4,184.41,184.45,184.4,1609762800,50.88810801364817,-0.050495941543829304,-0.02922118537495453,-0.021274756168874774,31.93645114416137,184.33,184.2156904786712,184.44430952132882,185.14470864,184.3796776072184
2021-01-04- 12:30:00,184.42,184.5,184.5,184.42,1609763400,64.89322933706273,-0.03896233799184756,-0.031169415898333136,-0.007792922093514426,28.06506366574393,184.40333333333334,184.23976207802858,184.5669045886381,185.1268144672,184.4398388036092
2021-01-04- 12:35:00,184.5,184.55,184.6,184.5,1609763700,71.63409419624101,-0.026620997603203023,-0.030259732239307113,0.0036387346361040906,34.77959906355343,184.48666666666668,184.37081235212975,184.6025209812036,185.109278177856,184.49491940180462
2021-01-04- 12:40:00,184.6,184.64,184.65,184.6,1609764000,81.31890045281627,-0.011434953155855965,-0.026494776422616884,0.015059823266760919,42.84537074665415,184.56333333333336,184.44747901892202,184.6791876477447,185.09209261429888,184.5674597009023
2021-01-04- 12:45:00,184.63,184.55,184.63,184.33,1609764300,53.77749459712191,-0.0072036263603934,-0.02263654641017219,0.015432920049778788,42.154011649524264,184.58,184.49514718630044,184.66485281369958,185.0752507620129,184.55872985045116
2021-01-04- 12:50:00,184.6,184.78,184.78,184.6,1609764600,79.88829233756617,0.011553866534399049,-0.015798463821257942,0.02735233035565699,30.623193548729773,184.65666666666667,184.4673990724699,184.84593426086343,185.05874574677264,184.66936492522558
2021-01-04- 12:55:00,184.78,184.86,184.95,184.78,1609764900,84.46645035547398,0.028973622831500734,-0.006844046490706206,0.03581766932220694,34.29237082563947,184.73000000000002,184.46719462210845,184.99280537789159,185.0425708318372,184.7646824626128
2021-01-04- 13:00:00,184.94,184.8,184.95,184.8,1609765200,67.24548529820434,0.03534479157980286,0.0015937211233956073,0.03375107045640725,36.73848901024594,184.81333333333336,184.74534640674966,184.88132025991706,185.02671941520046,184.78234123130642
2021-01-04- 13:05:00,184.8,184.73,184.81,184.601,1609765500,49.56223263112698,0.033543089249036484,0.007983594748523783,0.025559494500512703,33.8698686010824,184.7966666666667,184.69041748403143,184.902915849302,185.01118502689644,184.75617061565322
2021-01-04- 13:10:00,184.78,184.74,184.86,184.74,1609765800,52.25277816659993,0.0318943419288189,0.012765744184582808,0.019128597744236094,25.269972275196526,184.7566666666667,184.69484254372585,184.81849078960752,184.99596132635853,184.7480853078266
2021-01-04- 13:15:00,184.74,184.72,184.78,184.62,1609766100,45.044271356067334,0.0283513426863351,0.015882863884933266,0.012468478801401835,30.582989613285303,184.73000000000002,184.71367007007294,184.7463299299271,184.98104209983134,184.73404265391332
2021-01-04- 13:20:00,184.73,184.61,184.75,184.6,1609766400,21.067185585358583,0.017528981041749603,0.016212087316296534,0.0013168937254530687,35.74507976892897,184.69000000000003,184.57569047905315,184.8043095209469,184.96642125783472,184.67202132695667
