time,price,sma,rsi,macd,macdSignal,adx,Middle bband,Lower bband,Upper bband,Parabolic sar,ema
2020-06-01- 08:00:00,83.14,0,0,0,0,0,0,0,0,0,0
2020-06-01- 08:05:00,82.06,0,0,0,0,0,0,0,0,81.98,0
2020-06-01- 08:10:00,82.01,82.40333333333332,0,0,0,0,138.41666666666666,137.8594513681581,138.97388196517522,83.2,82.40333333333332
2020-06-01- 08:15:00,81.4,81.82333333333334,0,0,0,0,138.07666666666668,137.4801583077936,138.67317502553976,83.2,81.90166666666667
2020-06-01- 08:20:00,81.26,81.55666666666667,0,0,0,0,137.98000000000002,137.60334808289653,138.3566519171035,83.1636,81.58083333333335
2020-06-01- 08:25:00,81.43,81.36333333333334,16.398713826366727,0,0,100,137.96,137.596315154746,138.323684845254,83.098692,81.50541666666668
2020-06-01- 08:30:00,81.45,81.38000000000001,18.749999999999705,0,0,83.7262896649529,137.9766666666667,137.6565278079214,138.29680552541197,83.03573124,81.47770833333334
2020-06-01- 08:35:00,81.83,81.57000000000001,54.90026019080631,0,0,57.1825961208528,137.90333333333336,137.7085114774214,138.09815518924532,82.9746593028,81.65385416666666
2020-06-01- 08:40:00,81.61,81.63000000000001,39.59962464810736,0,0,39.48680042478606,138.1266666666667,137.34584089295913,138.90749244037426,82.91541952371601,81.63192708333332
2020-06-01- 08:45:00,81.77,81.73666666666668,53.68193811465546,0,0,36.00790196167811,138.30333333333337,137.70727218809222,138.89939447857452,82.85795693800453,81.70096354166665
2020-06-01- 08:50:00,82.11,81.83000000000003,73.42873851869693,0,0,46.389212380111054,138.5933333333334,138.16303627836024,139.02363038830654,82.8022182298644,81.90548177083332
2020-06-01- 08:55:00,81.98,81.95333333333336,59.00198331801545,0,0,53.310085992399685,138.47000000000006,137.98916738882897,138.95083261117114,82.74815168296846,81.94274088541667
2020-06-01- 09:00:00,82.03,82.04000000000003,63.17597658735228,0,0,35.613861530734745,138.46000000000004,137.9644195322708,138.95558046772928,82.6957071324794,81.98637044270833
2020-06-01- 09:05:00,82.1,82.0366666666667,69.66220457442196,0,0,29.754527813767837,138.23333333333338,138.08515926163673,138.38150740503002,82.64483591850502,82.04318522135416
2020-06-01- 09:10:00,81.77,81.9666666666667,31.022059147949054,0,0,32.00263225309666,138.20333333333338,138.08863566322978,138.31803100343697,82.59549084094988,81.90659261067708
2020-06-01- 09:15:00,81.98,81.95000000000003,54.9006406638558,0,0,23.451089022892933,138.25666666666672,138.00298269884672,138.5103506344867,82.54762611572139,81.94329630533855
2020-06-01- 09:20:00,81.87,81.87333333333336,43.16100759211181,0,0,26.748014262413307,138.4333333333334,138.06587963260247,138.8007870340643,82.50119733224975,81.90664815266928
2020-06-01- 09:25:00,81.85,81.90000000000002,40.78262945757111,0,0,30.565327023019517,138.69666666666672,138.22838375126938,139.16494958206405,82.45616141228226,81.87832407633464
2020-06-01- 09:30:00,82.05,81.92333333333336,67.58004786345866,0.02194969688156334,0.004389939376312668,23.222427907468703,138.8066666666667,138.5213208725665,139.0920124607669,82.41247656991379,81.96416203816732
2020-06-01- 09:35:00,81.94,81.9466666666667,49.2087413429914,0.019003999501961744,0.007312751401442484,30.9682390064458,139.1466666666667,138.3673792428882,139.9259540904452,82.37010227281638,81.95208101908366
2020-06-01- 09:40:00,81.97,81.9866666666667,54.29190927464893,0.01846695081617611,0.009543591284389209,37.94519935853685,139.29000000000005,138.51316883003858,140.06683116996152,82.32899920463188,81.96104050954183
2020-06-01- 09:45:00,81.63,81.84666666666669,20.098043991985254,-0.0057657034750207,0.006481732332507227,53.63465735067433,139.48000000000005,139.1856079711666,139.7743920288335,82.28912922849292,81.7955202547709
2020-06-01- 09:50:00,81.35,81.65000000000002,11.303692839586768,-0.04066187071026661,-0.002946988276047542,66.58834108589569,139.3033333333334,139.07162470416532,139.53504196250148,82.25045535163814,81.57276012738545
2020-06-01- 09:55:00,81.58,81.52000000000002,42.37325640935456,-0.04651107920831521,-0.011659806462501076,73.55266474211739,139.1433333333334,138.8329214207209,139.4537452459459,82.212941691089,81.57638006369272
2020-06-01- 10:00:00,81.38,81.43666666666668,29.08449381472274,-0.0624456496144461,-0.02181697509289008,79.52759151453795,139.05333333333337,138.88976207816205,139.2169045885047,82.17655344035633,81.47819003184637
2020-06-01- 10:05:00,81.75,81.57000000000002,62.08281220901739,-0.0454984643393459,-0.026553272942181246,60.155604376529254,139.00000000000003,138.90907878882157,139.09092121117848,82.14125683714563,81.61409501592318
2020-06-01- 10:10:00,81.78,81.63666666666668,64.11371834867919,-0.030738403454392937,-0.027390299044623583,51.54352741703578,138.98000000000005,138.84047700330558,139.1195229966945,82.10701913203127,81.6970475079616
2020-06-01- 10:20:00,81.89,81.80666666666669,72.27978640296374,-0.012452264121421308,-0.024402692059983126,49.684780551697905,138.82000000000005,138.47090593443892,139.16909406556118,82.07380855807033,81.79352375398079
2020-06-01- 10:25:00,81.92,81.86333333333336,74.64050868894161,0.002059204127519365,-0.019110312822482628,53.755071712597015,138.60000000000005,138.1418879322553,139.05811206774482,82.04159430132822,81.85676187699039
2020-06-01- 10:40:00,81.8,81.87000000000002,49.398906675338054,0.0033339583040827847,-0.014621458597169545,38.90768733076943,138.47666666666672,138.263541768604,138.68979156472943,82.01034647228838,81.8283809384952
2020-06-01- 10:45:00,81.99,81.90333333333336,71.93765798667032,0.017050370597914366,-0.008287092758152762,42.20192437336425,138.6366666666667,138.01820980571114,139.2551235276223,82.01,81.90919046924759
2020-06-01- 10:55:00,82.07,81.95333333333336,78.09884747565127,0.030964577984519792,-0.00043675860961825234,48.08327069970753,138.68666666666672,138.15768441539464,139.2156489179388,81,81.98959523462379
2020-06-01- 11:00:00,82.34,82.13333333333335,89.62763304568855,0.05752471180359464,0.011155535473024327,59.45290150174858,138.49000000000007,137.56725048545837,139.41274951454176,81.0107,82.1647976173119
2020-06-01- 11:05:00,82.44,82.28333333333336,91.97461588764156,0.07987540801602222,0.024899509981623907,67.85831407838744,138.18000000000006,137.7253939435156,138.63460605648453,81.03808599999999,82.30239880865595
2020-06-01- 11:10:00,82.61,82.46333333333337,94.91096487526904,0.10347798900997418,0.04061520578729397,75.3605205625505,138.2533333333334,137.60088495312698,138.9057817135398,81.08014342,82.45619940432798
2020-06-01- 11:15:00,82.62,82.5566666666667,95.07011996492818,0.11615736320223391,0.055723637270281956,81.0936775962686,138.59666666666672,137.903397438901,139.28993589443243,81.14133768319999,82.53809970216399
2020-06-01- 11:20:00,82.54,82.59000000000003,69.12735464910868,0.1150606312363891,0.06759103606350339,84.91578228541401,138.81666666666672,138.60105384506696,139.03227948826648,81.21927079903999,82.539049851082
2020-06-01- 11:25:00,82.6,82.58666666666669,76.37882715898321,0.11450771767812284,0.07697437238642728,87.4638520781776,138.95000000000005,138.69649128885885,139.20350871114124,81.293307259088,82.569524925541
2020-06-01- 11:30:00,82.64,82.59333333333336,80.87173860504588,0.11296408336446007,0.08417231458203384,89.90485164264003,139.0666666666667,138.63947948418053,139.49385384915286,81.3636418961336,82.60476246277051
2020-06-01- 11:35:00,82.67,82.6366666666667,84.24338388812745,0.11013744938487946,0.08936534154260296,92.07061831328015,139.2066666666667,139.03513759566098,139.37819573767243,81.43045980132692,82.63738123138526
